otus	freshwater	soda	soda-saline	saline	tax	type
Otu01403	0	0	1	0	unclassified	soda-saline
Otu01411	0	0	0	1	Balneolaceae	saline
Otu01420	0	0	1	0	unclassified	soda-saline
Otu01449	0	0	0	1	Halanaerobiaceae	saline
Otu01455	1	0	0	0	Methylomonadaceae	freshwater
Otu01459	0	0	1	0	Saprospiraceae	soda-saline
Otu01460	0	0	0	1	Micavibrionaceae	saline
Otu01496	0	0	1	0	Bacteriovoracaceae	soda-saline
Otu01527	1	0	0	0	11-24_fa	freshwater
Otu01538	0	0	0	1	Rhodobacteraceae	saline
Otu01543	0	0	1	0	Pedosphaeraceae	soda-saline
Otu01557	1	0	0	0	Methylococcaceae	freshwater
Otu01568	1	0	0	0	unclassified	freshwater
Otu01574	1	0	0	0	unclassified	freshwater
Otu01594	1	0	0	0	A0839	freshwater
Otu01631	1	0	0	0	betI	freshwater
Otu01661	1	0	0	0	Phycisphaeraceae	freshwater
Otu01670	1	0	0	0	unclassified	freshwater
Otu01685	1	0	0	0	Reyranellaceae	freshwater
Otu01686	1	0	0	0	bacI	freshwater
Otu01698	1	0	0	0	Chlorobiaceae	freshwater
Otu01712	0	0	0	1	Ilumatobacteraceae	saline
Otu01716	1	0	0	0	Microscillaceae	freshwater
Otu01757	1	0	0	0	Saprospiraceae	freshwater
Otu01763	1	0	0	0	Luna1	freshwater
Otu01819	1	0	0	0	Kapabacteriales_fa	freshwater
Otu01837	0	1	1	0	DEV007	soda,soda-saline
Otu01901	1	0	0	0	betIII	freshwater
Otu01909	0	0	1	0	unclassified	soda-saline
Otu01918	0	0	1	0	Verrucomicrobiaceae	soda-saline
Otu01935	1	0	0	0	Flavobacteriaceae	freshwater
Otu01937	1	0	0	0	alfVI	freshwater
Otu01952	0	0	1	0	Candidatus_Campbellbacteria_fa	soda-saline
Otu01962	1	0	0	0	Beijerinckiaceae	freshwater
Otu02020	1	0	0	0	betI	freshwater
Otu02023	1	0	0	0	Silvanigrellaceae	freshwater
Otu02137	1	0	0	0	Methylomonadaceae	freshwater
Otu02177	1	0	0	0	bacII	freshwater
Otu02179	0	0	0	1	unclassified	saline
Otu02338	1	0	0	0	betIII	freshwater
Otu02348	1	0	0	0	bacIV	freshwater
Otu02492	1	0	0	0	alfVIII	freshwater
Otu02580	0	0	0	1	Sphingomonadaceae	saline
Otu02952	0	0	1	0	Bacteriovoracaceae	soda-saline
Otu03465	1	0	0	0	bacI	freshwater
